id,full_name,short_name,division_id,district,state
117,VONDH,VONB,16,KACHCHH,GUJARAT
118,BETAWAD,BEW,14,DHULE,MAHARASHTRA
119,ANAVAL,ANW,14,SURAT,GUJARAT
120,ANCHELI,ACL,14,NAVSARI,GUJARAT
121,BAGUMRA,BGMR,14,SURAT,GUJARAT
122,BAGWADA,BAGD,14,VALSAD,MAHARASHTRA
123,BHONE,BHNE,14,JALGAON,MAHARASHTRA
124,BORDI ROAD,BRRD,14,PALGHAR,MAHARASHTRA
125,CHIKHLI ROAD,CIO,14,NAVSARI,GUJARAT
126,DHOLIKUVA,DOLK,14,NAVSARI,GUJARAT
127,DOSVADA,DSD,14,TAPI,GUJARAT
128,DUNGARDA,DNGD,14,TAPI,GUJARAT
129,GANDEVI,GNV,14,NAVSARI,GUJARAT
130,GANDHISMRITI,GNST,14,NAVSARI,GUJARAT
131,HOL,HOL,14,DHULE,MAHARASHTRA
132,JORA-VASAN,JRS,14,VALSAD,GUJARAT
133,KALA-AMBA,KMB,14,NAVSARI,GUJARAT
134,KEVDI ROAD,KVO,14,SURAT,GUJARAT
135,MANGROLIA,MGRL,14,SURAT,GUJARAT
136,RANKUVA,RW,14,NAVSARI,GUJARAT
137,SONSHELU,SNSL,14,DHULE,MAHARASHTRA
138,MUMBAI CENTRAL,MMCT,14,MUMBAI,MAHARASHTRA
139,SURAT,ST,14,SURAT,GUJARAT
140,BANDRA TERMINUS,BDTS,14,MUMBAI,MAHARASHTRA
141,NAVSARI,NVS,14,NAVSARI,GUJARAT
142,BILLIMORA JN.,BIM,14,NAVSARI,GUJARAT
143,UDHNA JN.,UDN,14,SURAT,GUJARAT
144,VALSAD,BL,14,VALSAD,GUJARAT
145,VAPI,VAPI,14,VALSAD,GUJARAT
146,DONDAICHA,DDE,14,DHULE,MAHARASHTRA
147,UDVADA,UVD,14,VALSAD,GUJARAT
148,UMBERGAON ROAD,UBR,14,VALSAD,GUJARAT
149,AMALNER,AN,14,JALGAON,MAHARASHTRA
150,AMALSAD,AML,14,NAVSARI,GUJARAT
151,BHILAD,BLD,14,VALSAD,GUJARAT
152,CHALTHAN,CHM,14,SURAT,GUJARAT
153,DHARANGAON,DXG,14,JALGAON,MAHARASHTRA
154,MAROLI,MRL,14,NAVSARI,GUJARAT
155,NANDURBAR,NDB,14,NANDURBAR,MAHARASHTRA
156,SACHIN,SCH,14,SURAT,GUJARAT
157,SANJAN,SJN,14,VALSAD,GUJARAT
158,VYARA,VYA,14,TAPI,GUJARAT
159,ATUL,ATUL,14,VALSAD,GUJARAT
160,BARDOLI,BIY,14,SURAT,GUJARAT
161,BHADBHUNJA,BBAI,14,TAPI,GUJARAT
162,BHADWAD,BAWD,14,NANDURBAR,MAHARASHTRA
163,BHESTAN,BHET,14,SURAT,GUJARAT
164,BHORTEX,BRTK,14,JALGAON,MAHARASHTRA
165,CHAUPALE,CUE,14,NANDURBAR,MAHARASHTRA
166,CHAVALKHEDE,CHLK,14,JALGAON,MAHARASHTRA
167,CHINCHPADA,CPD,14,NANDURBAR,MAHARASHTRA
168,DHEKVAD,DWD,14,NANDURBAR,MAHARASHTRA
169,DUNGRI,DGI,14,VALSAD,GUJARAT
170,GANGADHRA,GGAR,14,SURAT,GUJARAT
171,GHOLWAD,GVD,14,PALGHAR,MAHARASHTRA
172,KAHER,KRAI,14,TAPI,GUJARAT
173,KARAMBELI,KEB,14,VALSAD,GUJARAT
174,KHANDBARA,KBH,14,NANDURBAR,MAHARASHTRA
175,KHATGAON,KHTG,14,NANDURBAR,MAHARASHTRA
176,KIKAKUI ROAD,KKRD,14,TAPI,GUJARAT
177,KOLDE,KFF,14,NANDURBAR,MAHARASHTRA
178,LAKKADKOT,LKKD,14,TAPI,GUJARAT
179,MADHI,MID,14,SURAT,GUJARAT
180,NARDANA,NDN,14,DHULE,MAHARASHTRA
181,NAVAPUR,NWU,14,NANDURBAR,MAHARASHTRA/GUJARAT
182,PADSE,PDP,14,JALGAON,MAHARASHTRA
183,PALDHI,PLD,14,JALGAON,MAHARASHTRA
184,PARDI,PAD,14,VALSAD,GUJARAT
185,RANALA,RNL,14,NANDURBAR,MAHARASHTRA
186,SINDKHEDA,SNK,14,DHULE,MAHARASHTRA
187,TAKARKHEDA,TKHE,14,JALGAON,MAHARASHTRA
188,TIMBARVA,TBV,14,SURAT,GUJARAT
189,TISI,TISI,14,NANDURBAR,MAHARASHTRA
190,UKAI  SONGADH,USD,14,TAPI,GUJARAT
191,UNAI AND VANSDA ROAD,UNI,14,NAVSARI,GUJARAT
192,VEDCHHA,VDH,14,VALSAD,GUJARAT
193,VIKHRAN ROAD,VKH,14,DHULE,MAHARASHTRA
194,WAGHAI,WGI,14,NAVSARI,GUJARAT
195,ANDHERI,ADH,14,MUMBAI,MAHARASHTRA
196,BANDRA,BA,14,MUMBAI,MAHARASHTRA
197,BHAYANDER,BYR,14,MUMBAI,MAHARASHTRA
198,BOISAR,BOR,14,PALGHAR,MAHARASHTRA
199,BORIVALI,BVI,14,MUMBAI,MAHARASHTRA
200,CHURCHGATE,CCG,14,MUMBAI,MAHARASHTRA
201,DADAR,DDR,14,MUMBAI,MAHARASHTRA
202,DAHISAR,DIC,14,MUMBAI,MAHARASHTRA
203,GOREGAON,GMN,14,MUMBAI,MAHARASHTRA
204,JOGESHWARI,JOS,14,MUMBAI,MAHARASHTRA
205,KANDIVALI,KILE,14,MUMBAI,MAHARASHTRA
206,KHAR ROAD,KHAR,14,MUMBAI,MAHARASHTRA
207,MAHIM JN.,MM,14,MUMBAI,MAHARASHTRA
208,MALAD,MDD,14,MUMBAI,MAHARASHTRA
209,MIRA ROAD,MIRA,14,MUMBAI,MAHARASHTRA
210,NALLASOPARA,NSP,14,PALGHAR,MAHARASHTRA
211,SANTACRUZ,STC,14,MUMBAI,MAHARASHTRA
212,VASAI ROAD,BSR,14,PALGHAR,MAHARASHTRA
213,VILLE PARLE,VLP,14,MUMBAI,MAHARASHTRA
214,VIRAR,VR,14,PALGHAR,MAHARASHTRA
215,CHARNI ROAD,CYR,14,MUMBAI,MAHARASHTRA
216,GRANT  ROAD,GTR,14,MUMBAI,MAHARASHTRA
217,LOWER PAREL,PL,14,MUMBAI,MAHARASHTRA
218,MAHALAXMI,MX,14,MUMBAI,MAHARASHTRA
219,MARINE LINES,MEL,14,MUMBAI,MAHARASHTRA
220,MATUNGA ROAD,MRU,14,MUMBAI,MAHARASHTRA
221,NAIGAON,NIG,14,PALGHAR,MAHARASHTRA
222,PALGHAR,PLG,14,PALGHAR,MAHARASHTRA
223,PRABHADEVI,PBHD,14,MUMBAI,MAHARASHTRA
224,DAHANU ROAD,DRD,14,PALGHAR,MAHARASHTRA
225,KELVE ROAD,KLV,14,PALGHAR,MAHARASHTRA
226,RAM MANDIR,RMAR,14,MUMBAI,MAHARASHTRA
227,SAPHALE,SAH,14,PALGHAR,MAHARASHTRA
228,UMROLI,UOI,14,PALGHAR,MAHARASHTRA
229,VAITARNA,VTN,14,PALGHAR,MAHARASHTRA
230,VANGAON,VGN,14,PALGHAR,MAHARASHTRA
231,NAR TOWN,NTN,15,ANAND,GUJARAT
232,AGAS,AGAS,15,ANAND,GUJARAT
233,JABUGAM,JBU,15,VADODARA,GUJARAT
234,KARAMSAD,KRYR,15,ANAND,GUJARAT
235,PANDORI,PNDR,15,AMRELI,GUJARAT
236,SANKHEDA BAHADURPUR,SAK,15,VADODARA,GUJARAT
237,SAYAMA,SAY,15,ANAND,GUJARAT
